Year_Month,maximumT,minimumT,precipitation,snowfall
Units,degF,degF,in,in
1948-01,nan,nan,nan,nan
1948-02,nan,nan,nan,nan
1948-03,nan,nan,nan,nan
1948-04,63.6,35.7,1.07,4
1948-05,69.2,42.5,1.9,T
1948-06,76.5,51.5,4.01,T
1948-07,84.5,55.6,1.44,T
1948-08,82.3,55.5,4.62,0
1948-09,78.7,50.2,0.4,0
1948-10,65.1,35,0.12,T
1948-11,47.2,20.9,0.02,0.4
1948-12,43.5,16.5,0.29,3.5
1949-01,32.5,6.7,0.32,7
1949-02,43.1,15.4,0.13,3.3
1949-03,50.4,24.7,0.67,6.7
1949-04,58.2,34.6,0.68,5.1
1949-05,67.8,43,1.14,0.2
1949-06,74.9,51.6,4.22,T
1949-07,83.6,57.4,3.59,T
1949-08,83,54.5,0.54,0
1949-09,76,47.7,0.26,T
1949-10,60.7,34.6,0.98,6.5
1949-11,61.7,33,T,T
1949-12,44.9,17,0.08,0.9
1950-01,45.5,17.1,0.32,5.1
1950-02,50.5,23.2,0.03,0.2
1950-03,49.9,22.6,0.33,4.3
1950-04,59.7,31.3,0.42,1.6
1950-05,66.6,38.1,1,1.1
1950-06,78.7,51.1,1.59,T
1950-07,78.4,53.6,4.5,T
1950-08,80.5,51.6,0.84,T
1950-09,69.9,47.6,2.82,1
1950-10,72.8,42.1,0.12,0
1950-11,52.6,24,0.14,2.1
1950-12,48.6,20.6,0.06,0.8
1951-01,38.7,12.6,0.59,7.7
1951-02,47,19.6,0.22,2.5
1951-03,47.1,19.3,0.36,3.5
1951-04,53.6,29.7,0.31,1.3
1951-05,68.5,43,1.54,T
1951-06,71.5,46.5,1.38,0.1
1951-07,85.4,57.2,4.42,T
1951-08,81,54.8,4.31,T
1951-09,73.4,44.8,0.85,0.8
1951-10,60.8,34.6,1.52,3.3
1951-11,49.6,22.5,0.53,5.9
1951-12,43.1,16.4,0.11,1.3
1952-01,47.8,20.1,0.04,0.2
1952-02,45.2,19.5,0.1,1.1
1952-03,44,20.1,1.13,15.1
1952-04,58,32.6,1.36,1.2
1952-05,66.9,42.3,2.21,0.3
1952-06,84.8,56.1,0.37,T
1952-07,84.1,56.1,1.19,T
1952-08,83.2,56.9,3.79,T
1952-09,76.5,48.3,0.37,T
1952-10,66.4,36.4,0.04,T
1952-11,43.5,19.5,0.23,3.5
1952-12,44.6,16.9,0.13,1.8
1953-01,52.1,23,T,T
1953-02,44.1,16.7,0.13,1.9
1953-03,54.5,27.1,0.21,2.7
1953-04,54.5,29.2,1.58,11.5
1953-05,63.1,39.5,1.33,3.2
1953-06,81.9,53,1.3,T
1953-07,85.4,58.1,2.19,T
1953-08,80.7,54.9,1.88,0
1953-09,78.9,48.9,T,0
1953-10,64.5,38.8,0.74,1.9
1953-11,53.7,28.7,0.57,5.9
1953-12,43.2,16.9,0.23,3.8
1954-01,49.2,21.5,0.22,2.6
1954-02,56.4,25.7,0.06,0.8
1954-03,47.3,20.9,0.59,4.7
1954-04,67.1,36.9,0.62,3.3
1954-05,66.7,41.7,2.57,2.4
1954-06,83.8,52,3.69,T
1954-07,88.5,59.4,3.13,T
1954-08,85.2,55.4,1.98,T
1954-09,80,49.6,1.91,T
1954-10,65.5,35.9,0.22,0.1
1954-11,56.8,27.7,0.23,2.2
1954-12,49.2,18.5,0.21,2.7
1955-01,40.7,13.7,0.29,3.2
1955-02,41.3,11.4,0.57,9
1955-03,51.6,20.3,0.32,4.2
1955-04,62.8,31.9,0.33,3.4
1955-05,69.7,43,4.88,T
1955-06,76.2,48.4,0.43,T
1955-07,88.3,57.2,2.34,T
1955-08,84.3,56.3,2.46,T
1955-09,76.5,47.9,1.35,0
1955-10,69.1,36.6,0.01,T
1955-11,50.3,20.8,0.3,3.7
1955-12,49.6,20.7,0.08,1.2
1956-01,45.2,17.6,1.12,12.7
1956-02,39.5,13.8,0.19,2.1
1956-03,52.1,23.4,0.84,10.4
1956-04,57.7,30.4,1.1,4.7
1956-05,72.1,45.2,0.88,T
1956-06,87.1,53.5,0.41,0
1956-07,84.6,55.3,3.03,0
1956-08,82.1,53,1.42,0
1956-09,81.1,47.4,0.59,0
1956-10,69.7,35.7,0.14,0.4
1956-11,49,20.5,0.91,9
1956-12,48.4,18.4,0.3,3.9
1957-01,40.3,11.4,0.45,8.7
1957-02,53.1,24.6,0.48,4.3
1957-03,49.3,25.1,0.56,5.5
1957-04,50.4,28.1,5.9,42.7
1957-05,62.6,41.2,5.67,14.9
1957-06,77.9,49.1,1.08,0
1957-07,84.8,58.1,3.65,0
1957-08,83.8,55.8,1.78,0
1957-09,75.1,44,1.25,0.8
1957-10,62.6,39.5,2.02,1
1957-11,44.4,21.9,2.21,18.3
1957-12,53.4,22,0.02,0.2
1958-01,47.5,17.8,0.09,1.8
1958-02,50.1,23.1,0.28,3.8
1958-03,41.7,20.9,1.29,16.1
1958-04,55.7,30.7,0.99,9.1
1958-05,74.5,45.9,4.79,0
1958-06,80.8,51.6,3.01,0
1958-07,83.2,54.3,4.42,0
1958-08,85.7,55.6,1.2,0
1958-09,78.1,47,1.38,T
1958-10,66.5,37.4,0.58,2.8
1958-11,56,24.3,0.22,2.9
1958-12,49.1,20.9,0.2,1.4
1959-01,43.7,14.9,0.43,5.2
1959-02,44.2,18.4,0.47,7.8
1959-03,50.4,22.2,1.19,10.3
1959-04,58.3,29.4,2.03,25.5
1959-05,69.9,43.1,3.48,0
1959-06,83.4,52.7,1.61,0
1959-07,86.2,53.5,0.94,0
1959-08,85.6,55.6,2.63,0
1959-09,73.5,44.4,3.58,27.9
1959-10,59.2,31.7,0.97,9
1959-11,53.1,19.7,0.05,0.8
1959-12,48.7,20.3,0.03,0.4
1960-01,41.7,14.2,0.11,1.5
1960-02,33,10.4,0.73,9.5
